Dataset,Shot,Model,Eval_Accuracy
GossipCop,8,bert-base-uncased,0.6111526946107785
GossipCop,8,distilbert-base-uncased,0.6392215568862275
GossipCop,8,roberta-base,0.5426646706586826
GossipCop,16,bert-base-uncased,0.6373502994011976
GossipCop,16,distilbert-base-uncased,0.4491017964071856
GossipCop,16,roberta-base,0.1893712574850299
GossipCop,32,bert-base-uncased,0.5886976047904192
GossipCop,32,distilbert-base-uncased,0.6841317365269461
GossipCop,32,roberta-base,0.2208083832335329
GossipCop,100,bert-base-uncased,0.7166916167664671
GossipCop,100,distilbert-base-uncased,0.7316616766467066
GossipCop,100,roberta-base,0.8173652694610778
GossipCop,full,bert-base-uncased,0.8779940119760479
GossipCop,full,distilbert-base-uncased,0.8866017964071856
GossipCop,full,roberta-base,0.8813622754491018
KDD2020,8,bert-base-uncased,0.4929859719438877
KDD2020,8,distilbert-base-uncased,0.6412825651302605
KDD2020,8,roberta-base,0.591182364729459
KDD2020,16,bert-base-uncased,0.5050100200400801
KDD2020,16,distilbert-base-uncased,0.5450901803607214
KDD2020,16,roberta-base,0.5490981963927856
KDD2020,32,bert-base-uncased,0.5551102204408818
KDD2020,32,distilbert-base-uncased,0.6192384769539078
KDD2020,32,roberta-base,0.4048096192384769
KDD2020,100,bert-base-uncased,0.5571142284569138
KDD2020,100,distilbert-base-uncased,0.6533066132264529
KDD2020,100,roberta-base,0.593186372745491
KDD2020,full,bert-base-uncased,0.7434869739478958
KDD2020,full,distilbert-base-uncased,0.7555110220440882
KDD2020,full,roberta-base,0.7875751503006012
PolitiFact,8,bert-base-uncased,0.4901960784313725
PolitiFact,8,distilbert-base-uncased,0.392156862745098
PolitiFact,8,roberta-base,0.7156862745098039
PolitiFact,16,bert-base-uncased,0.5294117647058824
PolitiFact,16,distilbert-base-uncased,0.7254901960784313
PolitiFact,16,roberta-base,0.4215686274509804
PolitiFact,32,bert-base-uncased,0.696078431372549
PolitiFact,32,distilbert-base-uncased,0.6666666666666666
PolitiFact,32,roberta-base,0.7352941176470589
PolitiFact,100,bert-base-uncased,0.6666666666666666
PolitiFact,100,distilbert-base-uncased,0.7549019607843137
PolitiFact,100,roberta-base,0.7156862745098039
PolitiFact,full,bert-base-uncased,0.7843137254901961
PolitiFact,full,distilbert-base-uncased,0.7156862745098039
PolitiFact,full,roberta-base,0.7156862745098039
TFG,8,bert-base-uncased,0.8002956757422693
TFG,8,distilbert-base-uncased,0.5536528273992855
TFG,8,roberta-base,0.5340643094739436
TFG,16,bert-base-uncased,0.7564371073056548
TFG,16,distilbert-base-uncased,0.8963902919797955
TFG,16,roberta-base,0.4659356905260564
TFG,32,bert-base-uncased,0.8956511026241222
TFG,32,distilbert-base-uncased,0.9077245287667858
TFG,32,roberta-base,0.7869902673401503
TFG,100,bert-base-uncased,0.9434520142909942
TFG,100,distilbert-base-uncased,0.9172107921645928
TFG,100,roberta-base,0.937784895897499
TFG,full,bert-base-uncased,0.9885425649870642
TFG,full,distilbert-base-uncased,0.9886657632130096
TFG,full,roberta-base,0.9836146359492424
